"ID","PersonID","TripNum","SiteNum","Date","Month","numYear","facYear","Time","TripDate","Recall","FieldTrip","Interviewer","BR","Agreement","BRLong","BRLat","FishingType","BaitLure","StartTime","exStart","exStop","exMedianTime","exDecMedianTime","DecFishingHr","FishingHr","MaxHook","Species","Emperors","Snappers","Nearshore","Breams","Cods_Trouts_Groupers","Perch","Pelagic","Flatheads_Cobblers","Pigfish_Tuskfish_Parrotfish","Cephalopods_Crustaceans_Molluscs","Others","UseLong","UseLat","exnTimes12m","exYrs","Postcode","BoatLength","BoatName","BoatID","Comments","Site","Screen18","PrevInter","Resident","nDaysInArea","BoatAccess","nBoatDays","nBoatDays_other","nShoreDays","nShoreDays_other","nTimesLast12m","nTimesLast12m_other","nTimes19","nTimes19_other","Covid","Activity","Activity_other","exRecall","nexRecall","nexStart","nexStop","KeptUndam","RelUndam","nHooked","nCaught","DP","nDP","perDP","nUndamHr","nDPHr","nHookedHr","DPrateHr","exWhyLeave","nexWhyLeave","nexWhyLeave_other","DiveMaxDepth","WhyChoose","WhyChoose_other","nexnTimes12m","nexYrs","nDives","DiveCert","YrBorn","Sex","nMale","nFemale","nGirls","nBoys","Accom","BoatType","NONEXTRACTIVE","LunarPhase"
179,808,1,1,2018-08-07,"August",2018,"2018","09:17",2018-08-07,"0",1,"Charlotte","Bickley Wharf ","Yes",113.652094731505,-24.8981660386021,"Casting","Bait","06:00","06:00","14:30","10:15",10.25,8.5,9,60,"Pinks blacks school mackerel ",NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,"113.747063931639","-25.2864833202732","30","20","6701",3,NA,"BD008",NA,NA,NA,NA,NA,NA,"Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40,40,"0",0,0,4.70588235294118,0,4.70588235294118,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Waning"
178,809,1,1,2018-08-07,"August",2018,"2018","09:17",2018-08-07,"0",1,"Charlotte","Bickley Wharf ","Yes",113.652094731505,-24.8981660386021,"Crabbing","Bait","11:00","11:00","14:15","12:37",12.62,3.25,4,15,"Blue swimmers ",NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,"113.673105292039","-24.9285080767413","12","30","6701",3,NA,"49107","Crabbing 10 pots ",NA,NA,NA,NA,NA,"Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,39,39,"0",0,0,12,0,12,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Waning"
177,810,1,1,2018-08-07,"August",2018,"2018","09:17",2018-08-07,"0",1,"Charlotte","Bickley Wharf ","Yes",113.652094731505,-24.8981660386021,"Casting","Bait","08:30","08:30","13:00","10:45",10.75,4.5,5,15,"Estuary cod 2 14 crabs ",NA,1,NA,NA,1,NA,NA,NA,NA,1,NA,"113.625275791005","-24.9139001651545","16","25","6450",3,NA,"AT875","Mainly crabbers 8 pots bit of fishing ",NA,NA,NA,NA,NA,"Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16,16,"0",0,0,3.55555555555556,0,3.55555555555556,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Waning"
176,811,1,1,2018-08-07,"August",2018,"2018","09:17",2018-08-07,"0",1,"Charlotte","Bickley Wharf ","Yes",113.652094731505,-24.8981660386021,"Crabbing","Bait","09:30","09:30","11:30","10:30",10.5,2,2,15,"Blue",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,"113.651067555588","-24.91214155159","20","55","6023",3,NA,"DE120","Crabbing 10 pots",NA,NA,NA,NA,NA,"Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,39,39,"0",0,0,19.5,0,19.5,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Waning"
175,812,1,1,2018-08-07,"August",2018,"2018","09:17",2018-08-07,"0",1,"Charlotte","Bickley Wharf ","Yes",113.652094731505,-24.8981660386021,"Crabbing","Bait","09:00","09:00","10:00","09:30",9.5,1,1,15,"Blue",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,"113.660362716684","-24.9074861655007","170","35","6035",3,NA,"GG334","Crabbing, 5 pots ",NA,NA,NA,NA,NA,"Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,"0",0,0,1,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Waning"
174,813,1,1,2018-08-07,"August",2018,"2018","09:17",2018-08-07,"0",1,"Charlotte","Bickley Wharf","Yes",113.651866713933,-24.8980741786137,"Casting","Bait","07:30","07:30","17:00","12:15",12.25,9.5,10,30,"Cod pinks blacks spangled flag trout ",1,1,NA,NA,1,NA,NA,NA,NA,NA,NA,"113.443078053166","-24.6269580502882","11","65","6701",4,"Blowie","38911",NA,NA,NA,NA,NA,NA,"Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24,20,"1",4,16.6666666666667,2.10526315789474,0.421052631578947,2.52631578947368,0.166666666666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Waning"
173,814,1,1,2018-08-07,"August",2018,"2018","09:17",2018-08-07,"0",1,"Charlotte","Bickley Wharf","Yes",113.651866713933,-24.8980741786137,"Casting","Bait","09:30","09:30","15:00","12:15",12.25,5.5,6,60,"Pinks rankin cod estuary ",NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,"113.047447110317","-24.8722824213207","32","55","6701",4,"Loose Canyon","EV008",NA,NA,NA,NA,NA,NA,"Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25,20,"1",5,20,3.63636363636364,0.909090909090909,4.54545454545455,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Waning"
172,815,1,1,2018-08-07,"August",2018,"2018","09:17",2018-08-07,"0",1,"Charlotte","Bickley Wharf","Yes",113.651866713933,-24.8980741786137,"Casting","Bait","09:00","09:00","15:00","12:00",12,6,6,60,"20",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,"113.205101914295","-24.8806979288754","13","15","6701",4,NA,"DZ049",NA,NA,NA,NA,NA,NA,"Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,0,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Waning"
171,816,1,1,2018-08-07,"August",2018,"2018","09:17",2018-08-07,"0",1,"Charlotte","Bickley Wharf","Yes",113.651866713933,-24.8980741786137,"Casting","Bait","08:00","08:00","15:30","11:45",11.75,7.5,8,30,"Bald chin pinks rankin northwester ",NA,1,NA,NA,1,NA,NA,NA,1,NA,1,"113.250988622576","-24.9173457948426","13","15","6701",4,NA,"AE743",NA,NA,NA,NA,NA,NA,"Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25,25,"0",0,0,3.33333333333333,0,3.33333333333333,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Waning"
170,817,1,1,2018-08-07,"August",2018,"2018","09:17",2018-08-07,"0",1,"Charlotte","Bickley Wharf","Yes",113.651866713933,-24.8980741786137,"Casting","Bait","08:30","08:30","15:00","11:45",11.75,6.5,7,45,"Trailer ",NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,"113.605239577364","-24.9044512445487","42","55","6701",4,"Seeker","BM891",NA,NA,NA,NA,NA,NA,"Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,"0",0,0,0.153846153846154,0,0.153846153846154,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Waning"
